Batch,Verzeichnis,URL,Typ,DR,Ziel-URL,Text-Variante,Status,Datum,Dofollow geprueft,Notiz
1,Crunchbase,https://crunchbase.com,GEO/Firma,91,https://sicherheit.ai/de,C,offen,,,
1,LinkedIn Company Page,https://linkedin.com,GEO/B2B,98,https://sicherheit.ai/de,C,offen,,,
1,OMR Reviews,https://omr.com/reviews,DACH-B2B,75,https://sicherheit.ai/de,C,offen,,,
1,trusted.de,https://trusted.de,DACH,65,https://sicherheit.ai/de/tools,B,offen,,,
1,Capterra.de,https://capterra.com.de,Review,93,https://sicherheit.ai/de/ki-sicherheitscheck,B,offen,,,
1,GetApp,https://getapp.com,Review,78,https://sicherheit.ai/de/ki-sicherheitscheck,B,offen,,,
1,AlternativeTo,https://alternativeto.net,SaaS,79,https://sicherheit.ai/de/tools,B,offen,,,
1,SaaSHub,https://saashub.com,SaaS,77,https://sicherheit.ai/de/tools,B,offen,,,
1,Product Hunt,https://producthunt.com,Launch,91,https://sicherheit.ai/de,A,offen,,,
1,Wikidata,https://wikidata.org,GEO,91,https://sicherheit.ai/de,C,offen,,,
2,There's An AI For That,https://theresanaiforthat.com,KI,76,https://sicherheit.ai/de/tools,A,offen,,,
2,Futurepedia,https://futurepedia.io,KI,70,https://sicherheit.ai/de/tools,A,offen,,,
2,Toolify.ai,https://toolify.ai,KI,71,https://sicherheit.ai/de/tools,A,offen,,,
2,Future Tools,https://futuretools.io,KI,69,https://sicherheit.ai/de/tools,A,offen,,,
2,SourceForge,https://sourceforge.net,Legacy,92,https://sicherheit.ai/de,B,offen,,,
2,Slashdot,https://slashdot.org,Legacy,88,https://sicherheit.ai/de,C,offen,,,
2,TopAI.tools,https://topai.tools,KI,60,https://sicherheit.ai/de/tools,A,offen,,,
2,Supertools,https://supertools.therundown.ai,KI,61,https://sicherheit.ai/de/tools,A,offen,,,
2,AIStage,https://aistage.net,KI,66,https://sicherheit.ai/de/tools,A,offen,,,
2,aitools.inc,https://aitools.inc,KI,66,https://sicherheit.ai/de/tools,A,offen,,,
2,Startup Stash,https://startupstash.com,Startup,50,https://sicherheit.ai/de,B,offen,,,
2,F6S,https://f6s.com,Startup,65,https://sicherheit.ai/de,C,offen,,,
3,StartBase.de,https://startbase.de,DACH-Startup,55,https://sicherheit.ai/de,C,offen,,,
3,deutsche-startups.de,https://deutsche-startups.de,DACH-Startup,65,https://sicherheit.ai/de,C,offen,,,
3,wlw.de (Visable),https://wlw.de,B2B-DACH,70,https://sicherheit.ai/de,C,offen,,,
3,Cylex,https://cylex.de,Lokal,55,https://sicherheit.ai/de,C,offen,,,
3,GoLocal,https://golocal.de,Lokal,50,https://sicherheit.ai/de,C,offen,,,
3,11880,https://11880.com,Lokal,60,https://sicherheit.ai/de,C,offen,,,
3,Das Oertliche,https://dasoertliche.de,Lokal,70,https://sicherheit.ai/de,C,offen,,,
